playerClass,cost,flavor,rarity,set,collectible,playRequirements/REQ_TARGET_TO_PLAY,id,text,artist,howToEarnGolden,type,name,howToEarn,dust/0,dust/1,dust/2,dust/3,attack,race,health,mechanics/0,playRequirements/REQ_MINION_TARGET,spellDamage,mechanics/1,faction,playRequirements/REQ_NUM_MINION_SLOTS,playRequirements/REQ_TARGET_MIN_ATTACK,entourage/0,entourage/1,entourage/2,entourage/3,entourage/4,entourage/5,entourage/6,targetingArrowText,textInPlay,mechanics/2,playRequirements/REQ_FRIENDLY_TARGET,playRequirements/REQ_NONSELF_TARGET,playRequirements/REQ_TARGET_IF_AVAILABLE,overload,playRequirements/REQ_TARGET_WITH_RACE,playRequirements/REQ_DAMAGED_TARGET,playRequirements/REQ_ENEMY_TARGET,durability,playRequirements/REQ_TARGET_FOR_COMBO,playRequirements/REQ_WEAPON_EQUIPPED,playRequirements/REQ_FRIENDLY_MINION_DIED_THIS_GAME,playRequirements/REQ_MINIMUM_ENEMY_MINIONS,playRequirements/REQ_MUST_TARGET_TAUNTER,playRequirements/REQ_MINIMUM_TOTAL_MINIONS,playRequirements/REQ_UNDAMAGED_TARGET,playRequirements/REQ_TARGET_MAX_ATTACK,playRequirements/REQ_TARGET_IF_AVAILABLE_AND_DRAGON_IN_HAND,playRequirements/REQ_TARGET_IF_AVAILABLE_AND_MINIMUM_FRIENDLY_MINIONS,playRequirements/REQ_HERO_TARGET,entourage/7,playRequirements/REQ_LEGENDARY_TARGET,mechanics/3,playRequirements/REQ_MINION_CAP_IF_TARGET_AVAILABLE
PALADIN,2,"""I'm not saying you can dodge fireballs.  I'm saying with this shield, you won't have to.""",COMMON,EXPERT1,true,,EX1_362,<b>Battlecry:</b> Give a friendly minion <b>Divine Shield</b>.,Doug Alexander,,MINION,Argent Protector,,40,400,5,50,2,,2,BATTLECRY,0,,,,,,,,,,,,,Give <b>Divine Shield</b>.,,,0,0,0,,,,,,,,,,,,,,,,,,,,
,3,"Having Arcane golems at home really classes up the place, and as a bonus they are great conversation pieces.",RARE,EXPERT1,true,,EX1_089,<b>Charge</b>. <b>Battlecry:</b> Give your opponent a Mana Crystal.,Sedhayu Ardian,,MINION,Arcane Golem,,100,800,20,100,4,,2,BATTLECRY,,,CHARGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRIEST,6,Often followed by Holy Smokes!,RARE,EXPERT1,true,0,EX1_624,Deal 5 damage. Restore #5 Health to your hero.,Miguel Coimbra,,SPELL,Holy Fire,,100,800,20,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,Listen all y'all it's a saboteur!,RARE,TGT,true,,AT_086,<b>Battlecry:</b> Your opponent's Hero Power costs (5) more next turn.,Greg Staples,,MINION,Saboteur,,100,800,20,100,4,,3,BATTLECRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGE,3,"Hey man, that's cold.  Literally and metaphorically.",COMMON,CORE,true,,CS2_026,<b>Freeze</b> all enemy minions.,Josh Tallman,Unlocked at Level 23.,SPELL,Frost Nova,Unlocked at Level 6.,,,,,,,,FREEZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHAMAN,2,You can usually find these at the totemist's market on Saturdays.,RARE,GVG,true,,GVG_039,"At the end of your turn, restore 4 Health to your hero.",Guangjian Huang,,MINION,Vitality Totem,,100,800,20,100,0,TOTEM,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUNTER,5,"If you feed him, he loses his whole <i>identity</i>.",COMMON,CORE,true,,CS2_237,"Whenever you summon a Beast, draw a card.",Bernie Kang,Unlocked at Level 47.,MINION,Starving Buzzard,Unlocked at Level 4.,,,,,3,BEAST,2,,,,,,,,,,,,,,,,Soaring,,,,,,,,,,,,,,,,,,,,,,,,
HUNTER,6,"In the jungle, the mighty jungle, the lion gets slowly consumed by hyenas.",RARE,EXPERT1,true,,EX1_534,<b>Deathrattle:</b> Summon two 2/2 Hyenas.,Milivoj Ceran,,MINION,Savannah Highmane,,100,800,20,100,6,BEAST,5,DEATHRATTLE,,,,,,,,,,,,,,,Master,,,,,,,,,,,,,,,,,,,,,,,,
,12,He and Mountain Giant don't get along.,EPIC,GVG,true,,GVG_121,Costs (1) less for each card in your opponent's hand.,Dan Scott,,MINION,Clockwork Giant,,400,1600,100,400,8,MECHANICAL,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRUID,6,Crushes buildings with his BEAR hands. ,RARE,GVG,true,,GVG_034,"Whenever this minion takes damage, add a <b>Spare Part</b> card to your hand.",Trent Kaniuga,,MINION,Mech-Bear-Cat,,100,800,20,100,7,MECHANICAL,6,,,,,,,,PART_007,PART_006,PART_005,PART_001,PART_003,PART_002,PART_004,,,,,,,,,,,,,,,,,,,,,,,,,,
PRIEST,2,"I walked into the dungeon and noticed a slain adventurer. In his final moments, he had scrawled out a message in the dust on the wall beside him. Two words: ""rez plz""",RARE,BRM,true,,BRM_017,Summon a random friendly minion that died this game.,Luke Mancini,Can be crafted after defeating Emperor Thaurissan in Blackrock Depths.,SPELL,Resurrect,Unlocked by defeating Emperor Thaurissan in Blackrock Depths.,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
DRUID,0,"Some druids still have flashbacks from strangers yelling ""Innervate me!!"" at them.",FREE,CORE,true,,EX1_169,Gain 2 Mana Crystals this turn only.,Doug Alexander,Unlocked at Level 36.,SPELL,Innervate,Unlocked at Level 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,"""I'm gonna light you up, sweetcheeks!""",LEGENDARY,EXPERT1,true,,NEW1_029,<b>Battlecry:</b> Enemy spells cost (0) next turn.,Jim Nelson,,MINION,Millhouse Manastorm,,1600,3200,400,1600,4,,4,BATTLECRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,You wouldn’t think that Argus would need this much defending.  But it does.,RARE,EXPERT1,true,,EX1_093,<b>Battlecry:</b> Give adjacent minions +1/+1 and <b>Taunt</b>.,Alex Horley Orlandelli,,MINION,Defender of Argus,,100,800,20,100,2,,3,BATTLECRY,,,,ALLIANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUNTER,2,"Hyenas prefer the bones of kodos or windserpents, but they'll eat pretty much anything.  Even Brussels sprouts.",COMMON,EXPERT1,true,,EX1_531,"Whenever a friendly Beast dies, gain +2/+1.",Jim Nelson,,MINION,Scavenging Hyena,,40,400,5,50,2,BEAST,2,,,,,,,,,,,,,,,,Scavenging,,,,,,,,,,,,,,,,,,,,,,,,
,2,He's in charge of the Annual Scarlet Monastery Blood Drive!,LEGENDARY,EXPERT1,true,,EX1_012,<b>Spell Damage +1</b>. <b>Deathrattle:</b> Draw a card.,Alex Horley Orlandelli,,MINION,Bloodmage Thalnos,,1600,3200,400,1600,1,,1,DEATHRATTLE,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PALADIN,2,"If you are often bathed in Holy Light, you should consider wearing sunscreen.",FREE,CORE,true,0,CS2_089,Restore #6 Health.,Zoltan & Gabor,Unlocked at Level 15.,SPELL,Holy Light,Unlocked at Level 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PALADIN,4,"A good paladin has many tools.  Hammer of Wrath, Pliers of Vengeance, Hacksaw of Justice, etc.",FREE,CORE,true,0,CS2_094,"Deal 3 damage.
Draw a card.",Efrem Palacios,Unlocked at Level 32.,SPELL,Hammer of Wrath,Unlocked at Level 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUNTER,5,Tundra rhinos are often mistaken for kodos.  Or am I mistaken?,COMMON,CORE,true,,DS1_178,Your Beasts have <b>Charge</b>.,Lars Grant-West,Unlocked at Level 43.,MINION,Tundra Rhino,Unlocked at Level 8.,,,,,2,BEAST,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,"An elegant gorilla, for a more civilized age.",COMMON,TGT,true,,AT_090,<b>Inspire:</b> Give your other minions +1/+1.,Andrew Hou,,MINION,Mukla's Champion,,40,400,5,50,4,BEAST,3,INSPIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRUID,1,Another one bites the dust.,COMMON,EXPERT1,true,0,EX1_161,Destroy a minion. Your opponent draws 2 cards.,Leo Che,,SPELL,Naturalize,,40,400,5,50,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGE,3,"Flamewakers HATE being confused for Flamewalkers. They just wake up fire, they don’t walk on it. Walking on fire is CRAZY.",RARE,BRM,true,,BRM_002,"After you cast a spell, deal 2 damage randomly split among all enemies.",Alex Horley Orlandelli,Can be crafted after defeating Vaelastrasz in Blackwing Lair.,MINION,Flamewaker,Unlocked by defeating Vaelastrasz in Blackwing Lair.,,,,,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,Malygos hates it when mortals use magic.  He gets so mad!,LEGENDARY,EXPERT1,true,,EX1_563,<b>Spell Damage +5</b>,Michael Komarck,,MINION,Malygos,,1600,3200,400,1600,4,DRAGON,12,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,He was so excited to get season tickets to this year's Grand Tournament.  He normally doesn't get them at first and has to buy them from Ogre scalpers.,COMMON,TGT,true,,AT_097,<b>Taunt</b>,Adam Byrne,,MINION,Tournament Attendee,,40,400,5,50,2,,1,TAUNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PALADIN,3,He doesn't even get Sundays off.  Every day he's hostling.,COMMON,TGT,true,,AT_075,Your Silver Hand Recruits have +1 Attack.,Zoltan & Gabor,,MINION,Warhorse Trainer,,40,400,5,50,2,,4,AURA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WARLOCK,0,This is the reason that Demons never really become friends with Warlocks.,COMMON,CORE,true,0,NEW1_003,Destroy a Demon. Restore #5 Health to your hero.,Jim Nelson,Unlocked at Level 15.,SPELL,Sacrificial Pact,Unlocked at Level 8.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,
MAGE,4,Is he aspiring or inspiring?  Make up your mind!,COMMON,TGT,true,,AT_006,<b>Inspire:</b> Gain <b>Spell Damage +1</b>.,Dan Scott,,MINION,Dalaran Aspirant,,40,400,5,50,3,,5,INSPIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WARRIOR,3,"""Guys! Guys! Slow down!"" - some kind of non-warrior minion",FREE,CORE,true,0,CS2_103,Give a friendly minion +2 Attack and <b>Charge</b>.,Alex Horley Orlandelli,Unlocked at Level 23.,SPELL,Charge,Unlocked at Level 1.,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
,4,All these guys ever do is talk about the Thunder King.   BOOOORRRINNG!,COMMON,EXPERT1,true,,EX1_396,<b>Taunt</b>,Cole Eastburn,,MINION,Mogu'shan Warden,,40,400,5,50,1,,7,TAUNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRUID,4,Chew your food!,RARE,EXPERT1,true,,EX1_570,Give your hero +4 Attack this turn and 4 Armor.,Tom Baxa,,SPELL,Bite,,100,800,20,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PALADIN,3,"""Arf! Arf! Arf!"" - Seal of Champions",COMMON,TGT,true,0,AT_074,"Give a minion
+3 Attack and <b>Divine Shield</b>.",Jonboy Meyers,,SPELL,Seal of Champions,,40,400,5,50,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHAMAN,3,"Drek'thar can't see, but he can <i>see</i>. You know what I mean? It's ok if you don't.",EPIC,EXPERT1,true,,CS2_053,Draw a card. That card costs (3) less.,Lars Grant-West,,SPELL,Far Sight,,400,1600,100,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRUID,9,"The roots, the roots, the roots is on fire!",RARE,BRM,true,,BRM_009,"<b>Taunt</b>
Costs (1) less for each minion that died this turn.",Trent Kaniuga,Can be crafted after completing the Druid Class Challenge in Blackrock Mountain.,MINION,Volcanic Lumberer,Unlocked by completing the Druid Class Challenge in Blackrock Mountain.,,,,,7,,8,TAUNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,"She’s trying to kick the habit, but still takes some mana whenever she has a stressful day.",RARE,EXPERT1,true,,EX1_055,"Whenever you cast a spell, gain +2 Attack this turn.",Hideaki Takamura,,MINION,Mana Addict,,100,800,20,100,1,,3,,,,,ALLIANCE,,,,,,,,,,,Addicted,,,,,,,,,,,,,,,,,,,,,,,,
PALADIN,1,"This spell has been renamed so many times, even paladins don’t know what it should be called anymore.",FREE,CORE,true,0,EX1_371,Give a minion <b>Divine Shield</b>.,Clint Langley,Unlocked at Level 23.,SPELL,Hand of Protection,Unlocked at Level 1.,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,His horse's name is Betsy.,COMMON,TGT,true,,AT_087,"<b>Charge</b>
<b>Divine Shield</b>",Evgeniy Zagumennyy,,MINION,Argent Horserider,,40,400,5,50,2,,1,CHARGE,,,DIVINE_SHIELD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUNTER,7,The Sen'jin High football team is The Gahz'rillas.,LEGENDARY,GVG,true,,GVG_049,"Whenever this minion takes damage, double its Attack.",Raymond Swanland,,MINION,Gahz'rilla,,1600,3200,400,1600,6,BEAST,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHAMAN,5,Nothing beats rock.,EPIC,EXPERT1,true,,EX1_250,<b>Taunt</b>. <b>Overload:</b> (3),Dan Scott,,MINION,Earth Elemental,,400,1600,100,400,7,,8,TAUNT,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
HUNTER,2,Sometimes it's as simple as putting on a fake mustache and pointing at someone else.,RARE,EXPERT1,true,,EX1_533,"<b>Secret:</b> When a character attacks your hero, instead he attacks another random character.",Daren Bader,,SPELL,Misdirection,,100,800,20,100,,,,SECRET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,They always have a spare flask of Sunwell Energy Drink™!,COMMON,CORE,true,,EX1_019,<b>Battlecry:</b> Give a friendly minion +1/+1.,Doug Alexander,Unlocked at Priest Level 53.,MINION,Shattered Sun Cleric,,,,,,3,,2,BATTLECRY,0,,,,,,,,,,,,,Give +1/+1.,,,0,,0,,,,,,,,,,,,,,,,,,,,
,2,Who argent watches the Argent Watchman?,RARE,TGT,true,,AT_109,"Can't attack.
<b>Inspire:</b> Can attack as normal this turn.",Ben Zhang,,MINION,Argent Watchman,,100,800,20,100,2,,4,INSPIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,"Nat Pagle, Azeroth's premier fisherman!  He invented the Auto-Angler 3000, the Extendo-Pole 3000, and the Lure-o-matic 2099 (still in testing).",LEGENDARY,EXPERT1,true,,EX1_557,"At the start of your turn, you have a 50% chance to draw an extra card.",Steve Prescott,,MINION,Nat Pagle,,1600,3200,400,1600,0,,4,,,,,,,,,,,,,,,,Fishing,,,,,,,,,,,,,,,,,,,,,,,,
,2,"Lorewalker Cho archives and shares tales from the land of Pandaria, but his favorite story is the one where Joey and Phoebe go on a road trip.",LEGENDARY,EXPERT1,true,,EX1_100,"Whenever a player casts a spell, put a copy into the other player’s hand.",Mark Zug,,MINION,Lorewalker Cho,,1600,3200,400,1600,0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,"""What if we put guns on it?"" -Fizzblitz, staring at the spider-transportation-machine",COMMON,GVG,true,,GVG_044,,Dany Orizio,,MINION,Spider Tank,,40,400,5,50,3,MECHANICAL,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WARLOCK,5,Virtually every member of the pro demon lobby is a warlock. Weird.,EPIC,GVG,true,0,GVG_019,"Deal 5 damage to a minion.  If it's a friendly Demon, give it +5/+5 instead.",Kerem Beyit,,SPELL,Demonheart,,400,1600,100,400,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,"Lance Carrier is an obscure entry level position in orcish armies.  A mystery, since orcs don't generally use lances.",COMMON,TGT,true,,AT_084,<b>Battlecry:</b> Give a friendly minion +2 Attack.,Tyson Murphy,,MINION,Lance Carrier,,40,400,5,50,1,,2,BATTLECRY,0,,,,,,,,,,,,,Give +2 Attack.,,,0,,0,,,,,,,,,,,,,,,,,,,,
PALADIN,7,Nobody rocks a monocle like Eadric.,LEGENDARY,TGT,true,,AT_081,"<b>Battlecry:</b> Change all enemy minions'
Attack to 1.", James Ryman,,MINION,Eadric the Pure,,1600,3200,400,1600,3,,7,BATTLECRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,"When there's something strange (say, a gibbering demon) in your neighborhood, who are you going to call?",RARE,TGT,true,,AT_106,<b>Battlecry:</b> <b>Silence</b> a Demon.,Andrea Uderzo,,MINION,Light's Champion,,100,800,20,100,4,,3,BATTLECRY,,,,,,,,,,,,,,<b>Silence</b> a Demon.,,,,,0,,15,,,,,,,,,,,,,,,,,,
,2,"""Death will rise, from the tides!""",COMMON,CORE,true,,EX1_506,<b>Battlecry:</b> Summon a 1/1 Murloc Scout.,Dan Scott,Unlocked at Rogue Level 53.,MINION,Murloc Tidehunter,,,,,,2,MURLOC,1,BATTLECRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUNTER,3,"Accuracy is not a highly valued trait among the mok'nathal.  Deadliness is near the top, though.",COMMON,EXPERT1,true,,EX1_617,Destroy a random enemy minion.,Steve Prescott,,SPELL,Deadly Shot,,40,400,5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
,1,"Every pirate uses the same four digits to access Automated Gold Dispensers.  It's called the ""Pirate's Code"".",RARE,EXPERT1,true,,NEW1_025,<b>Battlecry:</b> Remove 1 Durability from your opponent's weapon.,Randy Gallegos,,MINION,Bloodsail Corsair,,100,800,20,100,1,PIRATE,2,BATTLECRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WARRIOR,2,Minion get ANGRY.   Minion SMASH!,COMMON,EXPERT1,true,0,CS2_104,Give a damaged minion +3/+3.,Jonboy Meyers,,SPELL,Rampage,,40,400,5,50,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
DRUID,1,"It is true that some druids are savage, but others still enjoy a quiet moment and a spot of tea.",RARE,EXPERT1,true,0,EX1_578,Deal damage equal to your hero's Attack to a minion.,Dave Rapoza,,SPELL,Savagery,,100,800,20,100,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,"He's currently trying to craft a ""flail-axe"", but all the other swordsmiths say it can't be done.",RARE,EXPERT1,true,,NEW1_037,"At the end of your turn, give another random friendly minion +1 Attack.",E.M. Gist,,MINION,Master Swordsmith,,100,800,20,100,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGE,5,"It's on the rack next to ice lance, acid lance, and English muffin lance.",COMMON,TGT,true,0,AT_001,Deal 8 damage to a minion.,Nutthapon Petchthai,,SPELL,Flame Lance,,40,400,5,50,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WARRIOR,,,FREE,CORE,true,,HERO_01,,,,HERO,Garrosh Hellscream,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,Mere devilsaurs no longer excite him.  Soon he'll be trying to catch Onyxia with only a dull Krol Blade.,EPIC,EXPERT1,true,,EX1_005,<b>Battlecry:</b> Destroy a minion with an Attack of 7 or more.,Chris Seaman,,MINION,Big Game Hunter,,400,1600,100,400,4,,2,BATTLECRY,0,,,,,7,,,,,,,,Destroy a minion with an Attack of 7 or more.,,,,,0,,,,,,,,,,,,,,,,,,,,
WARRIOR,1,Easily worth 50 DKP.,RARE,EXPERT1,true,,EX1_409,"If you have a weapon, give it +1/+1. Otherwise equip a 1/3 weapon.",Matt Cavotta,,SPELL,Upgrade!,,100,800,20,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,Always roll need.,COMMON,EXPERT1,true,,EX1_096,<b>Deathrattle:</b> Draw a card.,Jim Nelson,,MINION,Loot Hoarder,,40,400,5,50,2,,1,DEATHRATTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRUID,5,Is the sky falling?  Yes.  Yes it is.,RARE,EXPERT1,true,,NEW1_007,<b>Choose One -</b> Deal 5 damage to a minion; or 2 damage to all enemy minions.,Richard Wright,,SPELL,Starfall,,100,800,20,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,Check it out.  You can do barrel rolls on this thing.,COMMON,TGT,true,,AT_083,"<b>Inspire:</b> Gain <b>Windfury</b>
this turn.",Anton Zemskov,,MINION,Dragonhawk Rider,,40,400,5,50,3,,3,INSPIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WARRIOR,3,The Warsong clan is <i>such drama</i>. It's really not worth it to become a commander.,FREE,CORE,true,,EX1_084,"Whenever you summon a minion with 3 or less Attack, give it <b>Charge</b>.",Wei Wang,Unlocked at Level 36.,MINION,Warsong Commander,Unlocked at Level 1.,,,,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHAMAN,1,"Earth Shock? Shouldn't it be ""Azeroth Shock""?",COMMON,EXPERT1,true,0,EX1_245,"<b>Silence</b> a minion, then deal 1 damage to it.",Kevin Chin,,SPELL,Earth Shock,,40,400,5,50,,,,SILENCE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,Mechs that summon mechs? What's next? Donuts that summon donuts? Mmmmm.,COMMON,GVG,true,,GVG_006,Your Mechs cost (1) less.,Phil Saunders,,MINION,Mechwarper,,40,400,5,50,2,MECHANICAL,3,AURA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHAMAN,1,This would be real handy if your enemy is made of rock.,FREE,CORE,true,0,CS2_045,Give a friendly character +3 Attack this turn.,Alex Horley Orlandelli,Unlocked at Level 36.,SPELL,Rockbiter Weapon,Unlocked at Level 1.,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
ROGUE,6,,COMMON,CORE,true,,NEW1_004,Return all minions to their owner's hand.,Sean O’Daniels,Unlocked at Level 23.,SPELL,Vanish,Unlocked at Level 8.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,Coming soon... to a tuskarr village near you!,COMMON,TGT,true,,AT_119,<b>Inspire:</b> Gain +2/+2.,Trent Kaniuga,,MINION,Kvaldir Raider,,40,400,5,50,4,,4,INSPIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PALADIN,3,I dub you Sir Loin of Beef!,EPIC,EXPERT1,true,,EX1_366,"Whenever you summon a minion, give it +1/+1 and this loses 1 Durability.",Efrem Palacios,,WEAPON,Sword of Justice,,400,1600,100,400,1,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
SHAMAN,0,"I personally prefer some non-ancestral right-the-heck-now healing, but maybe that is just me.",FREE,CORE,true,0,CS2_041,Restore a minion to full Health and give it <b>Taunt</b>.,Dan Scott,Unlocked at Level 15.,SPELL,Ancestral Healing,Unlocked at Level 1.,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WARRIOR,3,"""Four out of three orcs struggle with math."" - Angry Zurge",COMMON,TGT,true,,AT_066,<b>Inspire:</b> Give your weapon +1 Attack.,Hideaki Takamura,,MINION,Orgrimmar Aspirant,,40,400,5,50,3,,3,INSPIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WARLOCK,4,"The box says, ""New and improved, with 200% more fel!""",RARE,GVG,true,,GVG_020,"At the end of your turn, deal 2 damage to a non-Mech minion.",Matt Gaser,,MINION,Fel Cannon,,100,800,20,100,3,MECHANICAL,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,He was sent by the Lich King to disrupt the Argent Tournament.   We can pretty much mark that a failure.,LEGENDARY,EXPERT1,true,,EX1_002,<b>Battlecry:</b> Destroy an enemy minion with <b>Taunt</b>.,Alex Horley Orlandelli,,MINION,The Black Knight,,1600,3200,400,1600,4,,5,BATTLECRY,0,,,,,,,,,,,,,Destroy a minion with Taunt.,,,,,0,,,,0,,,,,,0,,,,,,,,,,
HUNTER,2,Elekk jousting is AWESOME.,COMMON,TGT,true,,AT_058,"<b>Battlecry:</b> Reveal a minion in each deck. If yours costs more, draw it.",James Zhang,,MINION,King's Elekk,,40,400,5,50,3,BEAST,2,BATTLECRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,"Good fencers make good neighbors, right?",RARE,TGT,true,,AT_115,"<b>Battlecry:</b> The next time you use your Hero Power, it costs (2) less.",Howard Lyon,,MINION,Fencing Coach,,100,800,20,100,2,,2,BATTLECRY,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,Arachnofauxbia: Fear of fake spiders.,COMMON,NAXX,true,,FP1_002,<b>Deathrattle:</b> Summon two 1/1 Spectral Spiders.,Jeremy Cranford,Can be crafted after defeating Anub'Rekhan in the Arachnid Quarter.,MINION,Haunted Creeper,Unlocked by defeating Anub'Rekhan in the Arachnid Quarter.,,,,,1,BEAST,2,DEATHRATTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRIEST,2,Keeping tabs on the Grand Tournament is priority #1 for the five mighty Dragonflights!,RARE,TGT,true,,AT_116,"<b>Battlecry:</b> If you're holding a Dragon, gain +1 Attack and <b>Taunt</b>.",Jeff Easley,,MINION,Wyrmrest Agent,,100,800,20,100,1,,4,BATTLECRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROGUE,6,Gallywix believes in supply and demand. He supplies the beatings and demands you pay up!,LEGENDARY,GVG,true,,GVG_028,"Whenever your opponent casts a spell, gain a copy of it and give them a Coin.",Wei Wang,,MINION,Trade Prince Gallywix,,1600,3200,400,1600,5,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUNTER,9,The best defense against King Krush is to have someone you don’t like standing in front of you.,LEGENDARY,EXPERT1,true,,EX1_543,<b>Charge</b>,Alex Horley Orlandelli,,MINION,King Krush,,1600,3200,400,1600,8,BEAST,8,CHARGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,"Pirates are into this new fad called ""Planking"".",COMMON,EXPERT1,true,,CS2_146,Has <b>Charge</b> while you have a weapon equipped.,Dan Brereton,,MINION,Southsea Deckhand,,40,400,5,50,2,PIRATE,1,,,,,ALLIANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
