text,type,cost,rarity,set,id,name,playRequirements/REQ_TARGET_TO_PLAY,durability,attack,playerClass,flavor,collectible,artist,howToEarnGolden,howToEarn,dust/0,dust/1,dust/2,dust/3,mechanics/0,race,health,textInPlay,playRequirements/REQ_MINION_TARGET,mechanics/1,entourage/0,entourage/1,entourage/2,entourage/3,faction,spellDamage,playRequirements/REQ_NUM_MINION_SLOTS,playRequirements/REQ_TARGET_MIN_ATTACK,entourage/4,entourage/5,entourage/6,targetingArrowText,mechanics/2,playRequirements/REQ_FRIENDLY_TARGET,playRequirements/REQ_NONSELF_TARGET,playRequirements/REQ_TARGET_IF_AVAILABLE,overload,playRequirements/REQ_ENEMY_TARGET,playRequirements/REQ_HERO_TARGET,playRequirements/REQ_TARGET_WITH_RACE,playRequirements/REQ_MINIMUM_ENEMY_MINIONS,playRequirements/REQ_DAMAGED_TARGET,playRequirements/REQ_WEAPON_EQUIPPED,playRequirements/REQ_TARGET_FOR_COMBO,playRequirements/REQ_ENEMY_WEAPON_EQUIPPED,playRequirements/REQ_FRIENDLY_MINION_DIED_THIS_GAME,playRequirements/REQ_MUST_TARGET_TAUNTER,entourage/7,entourage/8,entourage/9,entourage/10,entourage/11,entourage/12,entourage/13,entourage/14,entourage/15,entourage/16,entourage/17,entourage/18,entourage/19,entourage/20,entourage/21,entourage/22,entourage/23,entourage/24,entourage/25,entourage/26,entourage/27,entourage/28,entourage/29,entourage/30,entourage/31,entourage/32,entourage/33,entourage/34,entourage/35,entourage/36,entourage/37,entourage/38,entourage/39,entourage/40,entourage/41,entourage/42,entourage/43,entourage/44,entourage/45,entourage/46,entourage/47,entourage/48,entourage/49,entourage/50,entourage/51,entourage/52,entourage/53,entourage/54,entourage/55,entourage/56,entourage/57,entourage/58,entourage/59,playRequirements/REQ_STEADY_SHOT,playRequirements/REQ_MINIMUM_TOTAL_MINIONS,playRequirements/REQ_UNDAMAGED_TARGET,playRequirements/REQ_ENTIRE_ENTOURAGE_NOT_IN_PLAY,playRequirements/REQ_LEGENDARY_TARGET,playRequirements/REQ_TARGET_MAX_ATTACK,playRequirements/REQ_TARGET_IF_AVAILABLE_AND_DRAGON_IN_HAND,playRequirements/REQ_MINION_OR_ENEMY_HERO,playRequirements/REQ_TARGET_IF_AVAILABLE_AND_MINIMUM_FRIENDLY_MINIONS,mechanics/3,playRequirements/REQ_MINION_CAP_IF_TARGET_AVAILABLE
You can't start a game without this minion in your deck.,MINION,9,LEGENDARY,CREDITS,CRED_17,Rob Pardo,,,9,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<b>Hero Power</b>
Deal 3 damage to the enemy hero.",HERO_POWER,2,,NAXX,NAX6_02,Necrotic Aura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<b>Inspire:</b> Gain +1 Health.,MINION,2,COMMON,TGT,AT_089,Boneguard Lieutenant,,,3,,"Underneath all that impressive armor, he's just skin and bones.  Okay, maybe just bones.",true,Slawomir Maniak,,,40,400,5,50,INSPIRE,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HERO,,,BRM,BRMA17_3H,Onyxia,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WEAPON,5,COMMON,CORE,CS2_112,Arcanite Reaper,,2,5,WARRIOR,No… actually you should fear the Reaper.,true,Stefan Kopinski,Unlocked at Level 51.,Unlocked at Level 10.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<b>Battlecry:</b> Deal 3 damage to your hero.,MINION,1,COMMON,EXPERT1,EX1_319,Flame Imp,,,3,WARLOCK,Imps like being on fire.  They just do.,true,Alex Horley Orlandelli,,,40,400,5,50,BATTLECRY,DEMON,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gain 5 Armor.
Draw a card.",SPELL,3,COMMON,CORE,EX1_606,Shield Block,,,,WARRIOR,Shields were invented because Face Block is USELESS.,true,Michael Komarck,Unlocked at Level 28.,Unlocked at Level 8.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deal $3 damage to a minion. Give your weapon +3 Attack.,SPELL,4,,BRM,BRMA16_3,Sonic Breath,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MINION,4,COMMON,GVG,GVG_071,Lost Tallstrider,,,5,,"The message, ""If found, please return to Mulgore,"" is tattooed on his rear.",true,Benjamin Zhang,,,40,400,5,50,,BEAST,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<b>Hero Power</b>
Summon a 1/1 Silver Hand Recruit.",HERO_POWER,2,FREE,CORE,CS2_101,Reinforce,,,,PALADIN,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ENCHANTMENT,,,TB,TB_GreatCurves_01,TB_ClockworkCardDealer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<b>Battlecry:</b> If you have a Beast, summon a
random Beast.",MINION,5,RARE,TGT,AT_010,Ram Wrangler,,,3,HUNTER,Not getting trampled is really the trick here.,true,Brandon Kitkouski,,,100,800,20,100,BATTLECRY,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<b>Taunt</b>,MINION,2,,TB,BRMC_90,Living Lava,,,6,,,,,,,,,,,TAUNT,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<b>Hero Power</b>
Nefarian rains fire from above!",HERO_POWER,0,,BRM,BRMA17_8H,Nefarian Strikes!,,,,,,,,,,,,,,AI_MUST_PLAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Has +2 Attack while you have a Mech.,WEAPON,3,EPIC,GVG,GVG_024,Cogmaster's Wrench,,3,1,ROGUE,For tightening cogs and smashin' troggs!,true,Richard Wright,,,400,1600,100,400,AURA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Increased stats.,ENCHANTMENT,,,TGT,AT_021e,Felrage,,,,WARLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Increased Attack.,ENCHANTMENT,,,EXPERT1,EX1_604o,Berserk,,,,WARRIOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+2 Attack.,ENCHANTMENT,,,EXPERT1,EX1_603e,Whipped Into Shape,,,,WARRIOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<b>Hero Power</b>
Deal $8 damage to a random enemy. TWICE.",HERO_POWER,2,,BRM,BRM_027pH,"DIE, INSECTS!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<b>Charge</b>
Can't attack heroes.",MINION,9,LEGENDARY,TGT,AT_125,Icehowl,,,10,,This massive yeti just closes his eyes and charges at the nearest target.  The nearest Target is a couple blocks away and has sick deals on skateboards.,true,John Polidora,,,1600,3200,400,1600,CHARGE,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<b>Battlecry:</b> Gain an empty Mana Crystal.
<b>Deathrattle:</b> Lose a Mana Crystal.",MINION,2,RARE,TGT,AT_038,Darnassus Aspirant,,,2,DRUID,"She loves mana crystals, she hates mana crystals.   So fickle!",true,Laurel Austin,,,100,800,20,100,BATTLECRY,,3,,,DEATHRATTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MINION,0,COMMON,CORE,EX1_506a,Murloc Scout,,,1,,,,,,,,,,,,MURLOC,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<b>Combo:</b> Deal 2 damage.,MINION,3,RARE,EXPERT1,EX1_134,SI:7 Agent,,,3,ROGUE,"The agents of SI:7 are responsible for Stormwind's covert activities.  Their duties include espionage, assassination, and throwing surprise birthday parties for the royal family.",true,Chris Moeller,,,100,800,20,100,COMBO,,3,,,,,,,,,,,,,,,Deal 2 damage.,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<b>Combo:</b> Deal 1 damage.,MINION,2,COMMON,TGT,AT_030,Undercity Valiant,,,3,ROGUE,Almost went to play for Stormwind before signing with Undercity.,true,Zoltan Boros ,,,40,400,5,50,COMBO,,2,,,,,,,,,,,,,,,Deal 1 damage.,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<b>Battlecry:</b> Equip a 2/2 weapon.,MINION,4,COMMON,EXPERT1,EX1_398,Arathi Weaponsmith,,,3,WARRIOR,"50% off fist weapons, limited time only!",true,Samwise,,,40,400,5,50,BATTLECRY,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+2/+2.,ENCHANTMENT,,,GVG,GVG_055e,Screwy Jank,,,,WARRIOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<b>Battlecry:</b> Summon an exact copy of this minion at the end of the turn.,MINION,2,EPIC,NAXX,FP1_003,Echoing Ooze,,,1,,OOZE... Ooze... Ooze... (ooze...),true,Eric Browning,Can be crafted after defeating Sapphiron in the Frostwyrm Lair.,Unlocked by defeating Sapphiron in the Frostwyrm Lair.,,,,,BATTLECRY,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ENCHANTMENT,,,NAXX,NAX15_01He,Interloper!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Has +1/+1.,ENCHANTMENT,,,CORE,CS2_222o,Might of Stormwind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deal $5 damage to the enemy hero.,SPELL,2,FREE,CORE,DS1_233,Mind Blast,,,,PRIEST,This spell blasts you directly in the MIND.,true,Dave Allsop,Unlocked at Level 15.,Unlocked at Level 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<b>Stealth</b>
<b>Spell Damage +1</b>",MINION,4,EPIC,GVG,GVG_109,Mini-Mage,,,4,,He is sometimes found hiding in the treasure chest in the Gurubashi Arena.,true,Ben Olson,,,400,1600,100,400,STEALTH,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<b>Hero Power</b>
Summon a 5/4 Dragonkin. Get a new Hero Power.",HERO_POWER,1,,BRM,BRMA09_4H,Blackwing,,,,,,,,,,,,,,,,,,,,BRMA09_2H,BRMA09_3H,BRMA09_5H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cards you draw from your Hero Power cost (0).,MINION,6,LEGENDARY,TGT,AT_027,Wilfred Fizzlebang,,,4,WARLOCK,"He can summon anything, even a FEARSOME DOOMGUARD*.
*He's pretty sure this is going to work out.",true,Tooth,,,1600,3200,400,1600,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Your next Dragon costs (2) less.,ENCHANTMENT,,,BRM,BRM_018e,Unchained!,,,,PALADIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HERO,,,BRM,BRMA12_9,Chromatic Dragonkin,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+2 Health.,ENCHANTMENT,,,CORE,EX1_244e,Totemic Might,,,,SHAMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MINION,1,FREE,CORE,CS2_050,Searing Totem,,,1,SHAMAN,,,,,,,,,,,TOTEM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"At the end of your turn, deal 1 damage to random enemy minion.",MINION,1,,TB,TBST_002,OLDN3wb Mage,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<b>Charge</b>.  At the end of the turn, destroy this minion.",MINION,1,COMMON,EXPERT1,EX1_tk9,Treant,,,2,DRUID,,,,,,40,400,5,50,CHARGE,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<b>Battlecry:</b> If you have a Pirate, gain +1/+1.",MINION,3,RARE,TGT,AT_032,Shady Dealer,,,4,ROGUE,I have great deal for you... for 4 damage to your face!,true,Tooth,,,100,800,20,100,BATTLECRY,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<b>Choose One</b> - Give a minion +4 Attack; or +4 Health and <b>Taunt</b>.,SPELL,3,COMMON,EXPERT1,EX1_155,Mark of Nature,,,,DRUID,"Druids call it the ""Mark of Nature.""  Everyone else calls it ""needing a bath.""",true,Clint Langley,,,40,400,5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+5 Health and <b>Taunt</b>.,ENCHANTMENT,,,EXPERT1,EX1_178ae,Rooted,,,,DRUID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<b>Hero Power</b>
Summon three 2/2 Whelps. Get a new Hero Power.",HERO_POWER,2,,BRM,BRMA09_2H,Open the Gates,,,,,,,,,,,,,,,,,,,,BRMA09_3H,BRMA09_4H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<b>Taunt</b>
<b>Battlecry:</b> Gain +1/+1 for each enemy <b>Deathrattle</b> minion.",MINION,3,RARE,GVG,GVG_097,Lil' Exorcist,,,2,,Warlocks have the town exorcist on speed dial in case they unleash the wrong demon.,true,Jim Nelson,,,100,800,20,100,BATTLECRY,,3,,,TAUNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summon four 1/1 Dwarves with <b>Taunt</b>.,SPELL,3,,BRM,BRMA01_4,Get 'em!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Always wins Brawls.
 <b>Battlecry:</b> Add a Brawl to your hand.",MINION,4,LEGENDARY,TB,BRMC_92,Coren Direbrew,,,4,,,,,,,,,,,BATTLECRY,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+1 Attack and <b>Taunt</b>.,ENCHANTMENT,,,TGT,AT_116e,Bring it on!,,,,PRIEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+1 Attack.,ENCHANTMENT,,,GVG,GVG_030ae,Attack Mode,,,,DRUID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<b>Deathrattle:</b> Summon a random 4-Cost minion.,MINION,6,EPIC,GVG,GVG_105,Piloted Sky Golem,,,6,,The pinnacle of goblin engineering. Includes an espresso machine and foot massager.,true,Michael Phillippi,,,400,1600,100,400,DEATHRATTLE,MECHANICAL,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Whenever your opponent plays a card, gain +2 Attack.",MINION,4,LEGENDARY,TB,BRMC_86,Atramedes,,,2,,,,,,,,,,,,DRAGON,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+2/+2.,ENCHANTMENT,,,GVG,GVG_104a,"HERE, TAKE BUFF.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<b>Deathrattle:</b> Deal 2 damage to the enemy hero.,MINION,1,COMMON,EXPERT1,EX1_029,Leper Gnome,,,2,,"He really just wants to be your friend, but the constant rejection is starting to really get to him.",true,Glenn Rane,,,40,400,5,50,DEATHRATTLE,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+2 Attack this turn.,ENCHANTMENT,,,TGT,AT_039e,Savage,,,,DRUID,,,,,,,,,,TAG_ONE_TURN_EFFECT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Give your weapon +3 Attack. <b>Combo:</b> Give a random friendly minion +3 Attack.,SPELL,4,COMMON,GVG,GVG_022,Tinker's Sharpsword Oil,,,,ROGUE,"""Get ready to strike oil!"" - Super-cheesy battle cry",true,Den,,,40,400,5,50,COMBO,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Whenever a minion is healed, draw a card.",MINION,1,FREE,CORE,CS2_235,Northshire Cleric,,,1,PRIEST,They help the downtrodden and distressed.  Also they sell cookies.,true,Terese Nielsen,Unlocked at Level 40.,Unlocked at Level 1.,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+1 Attack.,ENCHANTMENT,,,GVG,GVG_043e,Glaivezooka,,,,HUNTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<b>Battlecry:</b> Summon FIVE random Inventions.,MINION,4,LEGENDARY,CREDITS,CRED_11,Jay Baxter,,,1,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murloc Warleader is granting +2/+1.,ENCHANTMENT,,,EXPERT1,EX1_507e,Mrgglaargl!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Destroy your opponent's weapon.,SPELL,1,,BRM,BRMA16_4,Reverberating Gong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Draw 2 cards. Costs (1) less for each minion that died this turn.,SPELL,5,COMMON,BRM,BRM_001,Solemn Vigil,,,,PALADIN,"Each year, folk gather in front of Blackrock Mountain to mourn those who were mind-controlled into the lava.",true,Jaime Jones,Can be crafted after completing the Paladin Class Challenge in Blackrock Mountain.,Unlocked by completing the Paladin Class Challenge in Blackrock Mountain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<b>Battlecry:</b> Gain +1 Health for each card in your hand.,MINION,4,RARE,EXPERT1,EX1_043,Twilight Drake,,,4,,Twilight drakes feed on Mystical Energy.  And Tacos.,true,Jaemin Kim,,,100,800,20,100,BATTLECRY,DRAGON,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<b>Stealth</b>,MINION,1,COMMON,EXPERT1,EX1_010,Worgen Infiltrator,,,2,,"If you want to stop a worgen from infiltrating, just yell, ""No! Bad boy!""",true,Raymond Swanland,,,40,400,5,50,STEALTH,,1,,,,,,,,ALLIANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Has +2/+2. <i>(+2 Attack/+2 Health)</i>,ENCHANTMENT,,,MISSIONS,TU4f_004o,Legacy of the Emperor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silence and Destroy ALL Minions.,SPELL,0,,CHEAT,XXX_056,Silence Destroy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<b>Deathrattle:</b> Summon a Spectral Warrior for your opponent.,MINION,3,,NAXX,NAX8_04,Unrelenting Warrior,,,3,,,,,,,,,,,DEATHRATTLE,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MINION,1,,NAXX,FP1_002t,Spectral Spider,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Put a random minion from each player's hand into the battlefield.,SPELL,4,EPIC,GVG,GVG_029,Ancestor's Call,,,,SHAMAN,"""Hey! Ancestors!"" - Ancestor's call",true,Dan Scott,,,400,1600,100,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<b>Hero Power</b>
Give all Corrupted Eggs +1 Health, then summon one.",HERO_POWER,1,,BRM,BRMA10_3,The Rookery,,,,,,,,,,,,,,AI_MUST_PLAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
